Mineral Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45a,p45b,p46,p47a,p47b,p47c,p47d,p47e,p47f,p47g,p47h,p47i,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,Lunar,BQ,BS,BT
Kermesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,3,Sb2OS2
Kernite,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Na2B4O6(OH)2¬∑3H2O
Kesebolite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,2,6,CeCa2Mn2+(As5+O4)(SiO3)3
Kësterite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cu1+2Zn2+Sn4+S2-4
Kettnerite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,CaBi3+O(CO3)F
Keutschite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ag1+Cu2AsS2-4
Keyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,2,7,"([box],Cu,Cd,Zn,Ni)5(As5+O4)3¬∑H2O"
Keystoneite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,Mg0.5Ni2+Fe3+(Te4+O3)3¬∑4.5H2O
Khademite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,1,,,,,1,,,,1,1,,,,4,5,Al(S6+O4)F¬∑5H2O
Khaidarkanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,5,Cu2+4Al3(OH)14F3¬∑2H2O
Khamrabaevite,1,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,Ti4+C4-
Khanneshite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"(Na,Ca)3(Ba,Sr,Ce,Ca)3(CO3)5"
Kharaelakhite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,"(Cu,Pt,Pb,Fe,Ni)9S8"
Khatyrkite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,CuAl2
Khesinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,3,,Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36
Khibinskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,K2Zr4+Si2O7
Khinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,5,Cu2+3Pb2+Te6+O6(OH)2
Khmaralite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Mg4(Mg3Al9)O4[Si5Be2Al5O36]
Khomyakovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Na12Ca6Sr3Fe2+3W6+Zr4+3(Si25O73)(O,OH,H2O)3(Cl,OH)2"
Khorixasite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,5,(Bi3+0.67[box]0.33)Cu2+(V5+O4)(OH)
Khrenovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,Na3Fe3+2(As5+O4)3
Khristovite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CaCe3+(MgAlMn2+)(Si2O7)(SiO4)F(OH)
Khurayyimite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,5,Ca7Zn2+4(Si2O7)2(OH)10¬∑4H2O
Khvorovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Pb2+4Ca2[Si8B2(SiB)O28]F
Kiddcreekite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Cu6WSnS8
Kidwellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,5,NaFe3+9+x(PO4)6(OH)11¬∑3H2O (x ‚âà 1/3)
Kieftite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,CoSb3
Kieserite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,4,4,MgS6+O4¬∑H2O
Kihlmanite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,6,Ce3+2Ti4+O2(SiO4)(HCO3)2¬∑H2O
Kilchoanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,3,Ca6(SiO4)(Si3O10)
Killalaite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Ca3.2[H0.6Si2O7](OH)
Kimrobinsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,4,"Ta5+(OH)3(O,CO3)"
Kimuraite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,CaY2(CO3)4¬∑6H2O
Kimzeyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,"Ca3Zr4+2[(Al,Fe3+)2Si]O12"
Kingite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,5,Al3(PO4)2F2(OH)¬∑7H2O
Kingsgateite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,4,Zr4+Mo6+2O7(OH)2¬∑2H2O
Kingsmountite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,Ca3Mn2+Fe2+Al4(PO4)6(OH)4¬∑12H2O
Kingstonite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Rh3S4
Kinichilite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,Mg0.5Mn2+Fe3+(Te4+O3)3¬∑4.5H2O
Kinoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,Ca2Cu2+2Si3O10¬∑2H2O
Kinoshitalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,"BaMg3(Si2Al2)O10(OH,F)2"
Kintoreite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,PbFe3+3(PO4)(PO3OH)(OH)6
Kipushite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,4,Cu2+6(PO4)2(OH)6¬∑H2O
Kircherite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(Na5Ca2K)(Si6Al6O24)(S6+O4)2¬∑0.33H2O
Kirchhoffite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,CsBSi2O6
Kirkiite,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Pb10Bi3As3S19
Kirschsteinite,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,4,CaFe2+SiO4
Kitagohaite,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Pt7Cu
Kitkaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,NiTeSe
Kittatinnyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,Ca2Mn2+Mn3+2(SiO4)2(OH)4¬∑9H2O
Kladnoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,4,C6H4(CO)2NH
Klajite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,Mn2+Cu2+4(As5+O4)2(As5+O3OH)2¬∑9H2O
Klaprothite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,2,5,Na6(U6+O2)(S6+O4)4¬∑4H2O
Klebelsbergite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,4,Sb3+4O4(S6+O4)(OH)2
Kleberite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,4,Fe3+Ti4+6O11(OH)5
Kleemanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,5,Zn2+Al2(P5+O4)2(OH)2¬∑3H2O
Kleinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,2,6,"Hg2N(Cl,SO4)¬∑nH2O"
Klöchite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(Fe2+Fe3+)[box]2KZn2+3(Si12O30)
Klockmannite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Cu5.2Se6
Klyuchevskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,6,"K3Cu2+3(Fe3+,Al)O2(S6+O4)4"
Knasibfite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,5,K3Na4(SiF6)3(BF4)
Knorringite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Mg3Cr3+2(SiO4)3
Koashvite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,Na6CaTi4+Si6O18
Kobeite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"(Y3+,U6+,U4+)(Ti4+,Nb5+)2(O,OH)6"
Kobellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,"Pb2+11(Cu1+,Fe2+)2(Bi3+,Sb3+)15S2-35"
Kobokoboite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,4,Al6(PO4)4(OH)6¬∑11H2O
Kobyashevite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,2,4,Cu2+5(S6+O4)2(OH)6¬∑4H2O
Kochite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ca2Mn2+Zr4+Na3Ti4+(Si2O7)2(OF)F2
Kochkarite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Pb2+Bi3+4Te2-7
Kochsándorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,2,5,CaAl2(CO3)2(OH)4¬∑H2O
Kodamaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na3(Ca5Na)Si16O36(OH)4F2¬∑(14-<i>x</i>)H2O (x ‚âà 5)
Koechlinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,3,Bi3+2Mo6+O6
Koenenite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,Na4Mg9Al4Cl12(OH)22
Kogarkoite,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,4,4,Na3S6+O4F
Kojonenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,Pd7-xSnTe2 (0.3 ‚â§ x ‚â§ 0.8)
Kokchetavite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,KAlSi3O8
Kokinosite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,2,5,Na2Ca2(V5+10O28)¬∑24H2O
Koksharovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,CaMg2Fe3+4(V5+O4)6
Koktaite,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,5,5,(N3-H4)2Ca(S6+O4)2¬∑H2O
Kolarite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,PbTeCl2
Kolbeckite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,4,Sc3+P5+O4¬∑2H2O
Kolfanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,Ca2Fe3+3O2(As5+O4)3¬∑2H2O
Kolicite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,2,6,Zn2+4Mn2+7(As5+O4)2(SiO4)2(OH)8
Kolitschite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,Pb2+[Zn2+0.5[box]0.5]Fe3+3(As5+O4)2(OH)6
Kollerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,5,(N3-H4)2Fe3+(S4+O3)2(OH)¬∑H2O
Kolovratite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,5,"(Ni2+,Zn2+)xV5+O4¬∑nH2O"
Kolskyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CaNa2Ti4+4(Si2O7)2O4¬∑7H2O
Kolwezite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,Cu2+Co2+CO3(OH)2
Kolymite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Cu7Hg6
Komarovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,"(Ca,Sr,Na)6-x(Nb5+,Ti4+)6(Si4O12)(O,OH,F)16¬∑nH2O"
Kombatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,4,Pb2+14O9(V5+O4)2Cl1-4
Komkovite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,BaZr4+Si3O9¬∑3H2O
Konderite,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,PbCu3Rh8S16
Koninckite,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,4,Fe3+PO4¬∑3H2O
Kononovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,NaMg(S6+O4)F
Konyaite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,4,5,Na2Mg(S6+O4)2¬∑5H2O
Koragoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,"Mn2+2Mn3+Nb5+2(Nb5+,Ta5+)3W6+2O20"
Koritnigite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,2,4,Zn2+(As5+O3OH)¬∑H2O
Kornelite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,2,4,Fe3+2(S6+O4)3¬∑7H2O
Kornerupine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,"(Mg,Fe2+,Al,[box])10(Si,Al,B)5O21(OH,F)2"
Korobitsynite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Na,[box])4Ti4+2(Si4O12)(O,OH)2¬∑4H2O"
Korshunovskite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Mg2Cl(OH)3¬∑4H2O
Koryakite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,6,NaKMg2Al2(S6+O4)6
Korzhinskite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,CaB2O4¬∑0.5H2O
Kosmochlor,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,NaCr3+Si2O6
Kosnarite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,KZr4+2(P5+O4)3
Kostovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,AuCuTe4
Kostylevite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,K2Zr4+Si3O9¬∑H2O
Kotoite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Mg3(BO3)2
Kottenheimite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,Ca3Si(S6+O4)2(OH)6¬∑12H2O
Köttigite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,4,Zn2+3(As5+O4)2¬∑8H2O
Kotulskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pd(Te,Bi)2-x (x ‚âà 0.4)"
Koutekite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Cu5As2
Kovdorskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,4,Mg2PO4(OH)¬∑3H2O
Kozoite-(La),,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,LaCO3(OH)
Kozoite-(Nd),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NdCO3(OH)
Kozyrevskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,Cu2+4O(As5+O4)2
Kraisslite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,"Zn2+3(Mn2+,Mg)25(Fe3+,Al)(As3+O3)2[(Si,As5+)O4]10(OH)16"
Krasheninnikovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,7,KNa2CaMg(S6+O4)3F
Krásnoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,Ca3Al7.7Si3P4O23.5(OH)12.1F2¬∑8H2O
Krasnoshteinite,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Al8[B2O4(OH)2](OH)16Cl4¬∑7H2O
Krasnovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,7,"Ba(Al,Mg)(PO4,CO3)(OH)2¬∑H2O"
Kratochvílite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,2,C13H10
Krausite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,2,5,KFe3+(S6+O4)2¬∑H2O
Krauskopfite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,BaSi2O5¬∑3H2O
Krautite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,3,4,Mn2+(As5+O3OH)¬∑H2O
Kravtsovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,PdAg2S
Kreiterite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CsLi2Fe3+Si4O10F2
Kremersite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,3,5,(N3-H4)2Fe3+Cl5¬∑H2O
Krennerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Au3AgTe8
Krettnichite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,5,Pb2+Mn3+2(V5+O4)2(OH)2
Kribergite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,5,Al5(PO4)3(S6+O4)(OH)4¬∑4H2O
Krieselite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Al2GeO4(OH)2
