Mineral Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45a,p45b,p46,p47a,p47b,p47c,p47d,p47e,p47f,p47g,p47h,p47i,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,Lunar,BQ,BS,BT
Aksaite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,MgB6O7(OH)6¬∑2H2O
Aktashite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Cu6Hg3As4S12
Alabandite,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,Mn2+S2-
Alacránite,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,4,2,As8S9
Alamosite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,3,Pb2+SiO3
Alarsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,AlAs5+O4
Albertiniite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,4,Fe2+(S4+O3)¬∑3H2O
Albite,,,,1,1,,1,,1,1,,,,,,1,1,,1,,,1,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,18,4,NaAlSi3O8
Albrechtschraufite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,2,7,Ca4Mg(U6+O2)2(CO3)6F2¬∑17H2O
Alburnite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ag8GeTe2S4
Alcantarillaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,1,6,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(As5+O4)2O7]
Alcaparrosaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,6,K3Ti4+Fe3+(S6+O4)4O¬∑2H2O
Aldermanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,5,Mg5Al12(PO4)8(OH)22¬∑32H2O
Aldridgeite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,3,7,"(Cd2+,Ca)(Cu2+,Zn2+)4(S6+O4)2(OH)6¬∑3H2O"
Aleksandrovite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,KCa7Sn4+2Li3Si12O36F2
Aleksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Pb2+Bi3+2Te2-2S2-2
Aleutite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,[Cu2+5O2](As5+O4)(V5+O4)¬∑(Cu2+0.5[box]0.5)Cl
Alexkhomyakovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,K6(Ca2Na)(CO3)5Cl1-¬∑6H2O
Alexkuznetsovite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,Ce2Mn2+(CO3)(Si2O7)
Alexkuznetsovite-(La),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,La2Mn2+(CO3)(Si2O7)
Alflarsenite,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,NaCa2Be3Si4O13(OH)¬∑2H2O
Alforsite,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,4,Ba5(PO4)3Cl
Alfredopetrovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,4,Al2(Se4+O3)3¬∑6H2O
Alfredstelznerite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ca4B16O16(OH)24¬∑19H2O
Algodonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Cu1-xAsx (x ‚âà 1/7)
Aliettite,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,6,"Ca0.2Mg6(Si,Al)8O20(OH)4¬∑4H2O"
Allabogdanite,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"(Fe,Ni)2P"
Allactite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Mn2+7(As5+O4)2(OH)8
Allanite-(Ce),,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,CaCeAl2Fe2+(Si2O7)(SiO4)O(OH)
Allanite-(La),,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,CaLaFe2+Al2(Si2O7)(SiO4)O(OH)
Allanite-(Nd),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,CaNdAl2Fe2+(Si2O7)(SiO4)O(OH)
Allanite-(Y),,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,CaYAl2Fe2+(Si2O7)(SiO4)O(OH)
Allanpringite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,4,Fe3+3(PO4)2(OH)3¬∑5H2O
Allargentum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Ag1-xSbx (x=0.09-0.16)
Alleghanyite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Mn2+5(SiO4)2(OH)2
Allendeite,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Sc3+4Zr4+3O12
Allochalcoselite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,Cu1+Cu2+5Pb2+O2(Se4+O3)2Cl5
